algorithm,scenario,size,digits,repetition,execution_time,memory_used_bytes
bubble_sort,reverse,69000,1,1,10.850145,276000
bubble_sort,reverse,69000,1,2,10.851692,276000
bubble_sort,reverse,69000,1,3,10.851231,276000
bubble_sort,reverse,70000,1,1,11.167687,280000
bubble_sort,reverse,70000,1,2,11.167712,280000
bubble_sort,reverse,70000,1,3,11.167708,280000
bubble_sort,reverse,71000,1,1,11.492946,284000
bubble_sort,reverse,71000,1,2,11.490997,284000
bubble_sort,reverse,71000,1,3,11.489439,284000
bubble_sort,reverse,72000,1,1,11.815102,288000
bubble_sort,reverse,72000,1,2,11.816999,288000
bubble_sort,reverse,72000,1,3,11.814140,288000
bubble_sort,reverse,73000,1,1,12.145943,292000
bubble_sort,reverse,73000,1,2,12.146290,292000
bubble_sort,reverse,73000,1,3,12.145620,292000
bubble_sort,reverse,74000,1,1,12.479203,296000
bubble_sort,reverse,74000,1,2,12.480260,296000
bubble_sort,reverse,74000,1,3,12.479106,296000
bubble_sort,reverse,75000,1,1,12.819126,300000
bubble_sort,reverse,75000,1,2,12.819597,300000
bubble_sort,reverse,75000,1,3,12.818003,300000
bubble_sort,reverse,76000,1,1,13.162841,304000
bubble_sort,reverse,76000,1,2,13.163308,304000
bubble_sort,reverse,76000,1,3,13.164365,304000
bubble_sort,reverse,77000,1,1,13.513512,308000
bubble_sort,reverse,77000,1,2,13.511837,308000
bubble_sort,reverse,77000,1,3,13.512846,308000
bubble_sort,reverse,78000,1,1,13.866335,312000
bubble_sort,reverse,78000,1,2,13.865064,312000
bubble_sort,reverse,78000,1,3,13.868055,312000
bubble_sort,reverse,79000,1,1,14.224295,316000
bubble_sort,reverse,79000,1,2,14.223315,316000
bubble_sort,reverse,79000,1,3,14.224677,316000
bubble_sort,reverse,80000,1,1,14.584913,320000
bubble_sort,reverse,80000,1,2,14.585249,320000
bubble_sort,reverse,80000,1,3,14.585407,320000
bubble_sort,reverse,81000,1,1,14.952607,324000
bubble_sort,reverse,81000,1,2,14.953873,324000
bubble_sort,reverse,81000,1,3,14.951938,324000
bubble_sort,reverse,82000,1,1,15.326420,328000
bubble_sort,reverse,82000,1,2,15.323479,328000
bubble_sort,reverse,82000,1,3,15.325533,328000
bubble_sort,reverse,83000,1,1,15.700098,332000
bubble_sort,reverse,83000,1,2,15.700074,332000
bubble_sort,reverse,83000,1,3,15.700823,332000
bubble_sort,reverse,84000,1,1,16.080832,336000
bubble_sort,reverse,84000,1,2,16.081442,336000
bubble_sort,reverse,84000,1,3,16.083063,336000
bubble_sort,reverse,85000,1,1,16.467600,340000
bubble_sort,reverse,85000,1,2,16.469275,340000
bubble_sort,reverse,85000,1,3,16.469518,340000
bubble_sort,reverse,86000,1,1,16.857700,344000
bubble_sort,reverse,86000,1,2,16.858643,344000
bubble_sort,reverse,86000,1,3,16.856493,344000
bubble_sort,reverse,87000,1,1,17.276183,348000
bubble_sort,reverse,87000,1,2,17.254102,348000
bubble_sort,reverse,87000,1,3,17.253102,348000
bubble_sort,reverse,88000,1,1,17.650995,352000
bubble_sort,reverse,88000,1,2,17.650518,352000
bubble_sort,reverse,88000,1,3,17.651313,352000
bubble_sort,reverse,89000,1,1,18.054514,356000
bubble_sort,reverse,89000,1,2,18.055300,356000
bubble_sort,reverse,89000,1,3,18.054925,356000
bubble_sort,reverse,90000,1,1,18.462563,360000
bubble_sort,reverse,90000,1,2,18.463322,360000
bubble_sort,reverse,90000,1,3,18.462009,360000
bubble_sort,reverse,91000,1,1,18.879483,364000
bubble_sort,reverse,91000,1,2,18.875205,364000
bubble_sort,reverse,91000,1,3,18.876022,364000
bubble_sort,reverse,92000,1,1,19.291824,368000
bubble_sort,reverse,92000,1,2,19.292855,368000
bubble_sort,reverse,92000,1,3,19.292438,368000
bubble_sort,reverse,93000,1,1,19.718035,372000
bubble_sort,reverse,93000,1,2,19.714311,372000
bubble_sort,reverse,93000,1,3,19.714543,372000
bubble_sort,reverse,94000,1,1,20.141080,376000
bubble_sort,reverse,94000,1,2,20.139738,376000
bubble_sort,reverse,94000,1,3,20.140221,376000
bubble_sort,reverse,95000,1,1,20.573052,380000
bubble_sort,reverse,95000,1,2,20.572167,380000
bubble_sort,reverse,95000,1,3,20.573925,380000
bubble_sort,reverse,96000,1,1,21.013263,384000
bubble_sort,reverse,96000,1,2,21.006651,384000
bubble_sort,reverse,96000,1,3,21.005139,384000
bubble_sort,reverse,97000,1,1,21.449024,388000
bubble_sort,reverse,97000,1,2,21.445430,388000
bubble_sort,reverse,97000,1,3,21.446491,388000
bubble_sort,reverse,98000,1,1,21.893866,392000
bubble_sort,reverse,98000,1,2,21.889662,392000
bubble_sort,reverse,98000,1,3,21.891958,392000
bubble_sort,reverse,99000,1,1,22.340453,396000
bubble_sort,reverse,99000,1,2,22.338370,396000
bubble_sort,reverse,99000,1,3,22.341023,396000
bubble_sort,reverse,100000,1,1,22.794280,400000
bubble_sort,reverse,100000,1,2,22.795492,400000
bubble_sort,reverse,100000,1,3,22.796384,400000
insertion_sort,reverse,1000,1,1,0.000228,4000
insertion_sort,reverse,1000,1,2,0.000224,4000
insertion_sort,reverse,1000,1,3,0.000225,4000
insertion_sort,reverse,2000,1,1,0.000706,8000
insertion_sort,reverse,2000,1,2,0.000706,8000
insertion_sort,reverse,2000,1,3,0.000702,8000
insertion_sort,reverse,3000,1,1,0.001501,12000
insertion_sort,reverse,3000,1,2,0.001496,12000
insertion_sort,reverse,3000,1,3,0.001499,12000
insertion_sort,reverse,4000,1,1,0.002602,16000
insertion_sort,reverse,4000,1,2,0.002605,16000
insertion_sort,reverse,4000,1,3,0.002607,16000
insertion_sort,reverse,5000,1,1,0.004024,20000
insertion_sort,reverse,5000,1,2,0.004023,20000
insertion_sort,reverse,5000,1,3,0.004025,20000
insertion_sort,reverse,6000,1,1,0.005755,24000
insertion_sort,reverse,6000,1,2,0.005757,24000
insertion_sort,reverse,6000,1,3,0.006124,24000
insertion_sort,reverse,7000,1,1,0.007803,28000
insertion_sort,reverse,7000,1,2,0.007830,28000
insertion_sort,reverse,7000,1,3,0.007805,28000
insertion_sort,reverse,8000,1,1,0.010163,32000
insertion_sort,reverse,8000,1,2,0.010162,32000
insertion_sort,reverse,8000,1,3,0.010191,32000
insertion_sort,reverse,9000,1,1,0.012842,36000
insertion_sort,reverse,9000,1,2,0.012842,36000
insertion_sort,reverse,9000,1,3,0.012872,36000
insertion_sort,reverse,10000,1,1,0.015831,40000
insertion_sort,reverse,10000,1,2,0.015857,40000
insertion_sort,reverse,10000,1,3,0.015826,40000
insertion_sort,reverse,11000,1,1,0.019159,44000
insertion_sort,reverse,11000,1,2,0.019130,44000
insertion_sort,reverse,11000,1,3,0.019157,44000
insertion_sort,reverse,12000,1,1,0.022773,48000
insertion_sort,reverse,12000,1,2,0.022769,48000
insertion_sort,reverse,12000,1,3,0.022826,48000
